,accountantId,cohort,total,m,count_org
596,A85C5F6F,5,40.0,6,1
597,A8795B9A,7,100.0,7,62
598,A8795B9A,7,100.0,8,53
599,A89C5973,5,170.0,5,246
600,A89C5973,5,170.0,6,9
601,A89C5973,5,170.0,7,1
602,A89C5973,5,170.0,8,1
603,A89C5973,5,170.0,9,1
604,A8A2E7CC,8,50.0,9,35
605,A96FDE7E,8,150.0,8,47
606,A9CABF45,4,130.0,5,132
607,A9CABF45,4,130.0,6,12
608,A9CABF45,4,130.0,7,2
609,A9CABF45,4,130.0,9,4
610,A9DB4487,7,120.0,7,133
611,A9EA68B5,9,50.0,9,109
612,AA2F74CD,8,50.0,8,59
613,AA2F74CD,8,50.0,9,5
614,AA3E5B25,7,30.0,8,11
615,AA466244,8,100.0,8,107
616,AA466244,8,100.0,9,11
617,AA46C7AA,8,30.0,8,26
618,AA46C7AA,8,30.0,9,20
619,AA47AF2C,5,50.0,5,1
620,AA47AF2C,5,50.0,6,35
621,AA47AF2C,5,50.0,7,11
622,AA67BC3C,4,100.0,4,1
623,AA67BC3C,4,100.0,5,23
624,AA67BC3C,4,100.0,6,1
625,AA67CC2A,7,164.0,8,163
626,AA67CC2A,7,164.0,9,5
627,AA69A5DF,8,45.0,8,60
628,AA69A5DF,8,45.0,9,3
629,AA75AABA,8,40.0,8,81
630,AA9DAAAC,8,100.0,8,7
631,AA9DAAAC,8,100.0,9,59
632,AAAF9FBA,7,400.0,8,320
633,AB4426F6,8,60.0,8,59
634,AB9E5FDB,7,18.0,7,5
635,AB9E5FDB,7,18.0,8,15
636,AB9E5FDB,7,18.0,9,2
637,ABD3A64D,8,20.0,8,10
638,ABD3A64D,8,20.0,9,17
639,AC328527,8,90.0,8,56
640,AC328527,8,90.0,9,4
641,AC373BE4,8,60.0,8,266
642,AC3ADF6F,7,100.0,8,94
643,AC3C6E42,8,150.0,8,167
644,AC4E372F,12,70.0,5,79
645,AC6AF37D,7,70.0,7,49
646,AC6AF37D,7,70.0,8,5
647,AC849929,5,50.0,5,28
648,ACC262D9,6,111.0,7,117
649,ACC3876E,7,20.0,7,6
650,ACCB8FDB,8,50.0,8,52
651,ACF64AA9,5,45.0,5,42
652,ACF64AA9,5,45.0,6,1
653,ADC6E274,8,120.0,8,117
654,ADC6E274,8,120.0,9,2
655,ADDE3D64,9,120.0,8,1
656,ADDE3D64,9,120.0,9,101
657,AE64BA57,6,50.0,6,10
658,AE64BA57,6,50.0,7,1
659,AE77D29C,9,100.0,9,115
660,AEA2F97C,7,65.0,7,9
661,AEA2F97C,7,65.0,8,48
662,AED49EEC,6,120.0,7,115
663,AED49EEC,6,120.0,8,2
664,AF625AAF,8,50.0,8,67
665,AF625AAF,8,50.0,9,2
666,AF7B2D28,5,80.0,6,71
667,AFA37BD5,8,250.0,9,1
668,B29CD6BA,8,300.0,8,445
669,B29CD6BA,8,300.0,9,29
670,B2AC2D67,6,30.0,6,14
671,B2AC2D67,6,30.0,7,12
672,B2AC2D67,6,30.0,8,1
673,B2D73A42,7,120.0,7,284
674,B32F26BE,5,260.0,6,246
675,B32F26BE,5,260.0,7,1
676,B32F26BE,5,260.0,9,1
677,B3A2C2E2,8,50.0,8,44
678,B47C9DC6,7,30.0,7,25
